source,length,rep,hvg_algorithm,time_in_seconds
seasonal_frequency_2.2,131072,7,dual_tree_hvg,0.7647192809963599
seasonal_frequency_2.2,131072,8,dual_tree_hvg,0.8342742959503084
seasonal_frequency_2.2,131072,9,dual_tree_hvg,0.7678431170061231
seasonal_frequency_2.4,131072,0,dual_tree_hvg,0.8246119220275432
seasonal_frequency_2.4,131072,1,dual_tree_hvg,0.83189004403539
seasonal_frequency_2.4,131072,2,dual_tree_hvg,0.7112410300178453
seasonal_frequency_2.4,131072,3,dual_tree_hvg,0.8453870310913771
seasonal_frequency_2.4,131072,4,dual_tree_hvg,0.9225077020237222
seasonal_frequency_2.4,131072,5,dual_tree_hvg,0.71217534202151
seasonal_frequency_2.4,131072,6,dual_tree_hvg,0.728428001049906
seasonal_frequency_2.4,131072,7,dual_tree_hvg,0.8500402889912948
seasonal_frequency_2.4,131072,8,dual_tree_hvg,0.8551182759692892
seasonal_frequency_2.4,131072,9,dual_tree_hvg,0.5056460330961272
seasonal_frequency_2.6,131072,0,dual_tree_hvg,0.813508216990158
seasonal_frequency_2.6,131072,1,dual_tree_hvg,0.8384279139572755
seasonal_frequency_2.6,131072,2,dual_tree_hvg,0.6626774769974872
seasonal_frequency_2.6,131072,3,dual_tree_hvg,0.7665266999974847
seasonal_frequency_2.6,131072,4,dual_tree_hvg,0.788467861013487
seasonal_frequency_2.6,131072,5,dual_tree_hvg,0.7157901949249208
seasonal_frequency_2.6,131072,6,dual_tree_hvg,0.855162666994147
seasonal_frequency_2.6,131072,7,dual_tree_hvg,0.7597036159131676
seasonal_frequency_2.6,131072,8,dual_tree_hvg,0.5203379570739344
seasonal_frequency_2.6,131072,9,dual_tree_hvg,0.7984902139287442
seasonal_frequency_2.8,131072,0,dual_tree_hvg,0.5331924880156294
seasonal_frequency_2.8,131072,1,dual_tree_hvg,0.6320113079855219
seasonal_frequency_2.8,131072,2,dual_tree_hvg,0.6613269760273397
seasonal_frequency_2.8,131072,3,dual_tree_hvg,0.7667435500770807
seasonal_frequency_2.8,131072,4,dual_tree_hvg,0.6516342469258234
seasonal_frequency_2.8,131072,5,dual_tree_hvg,0.8458884130232036
seasonal_frequency_2.8,131072,6,dual_tree_hvg,0.7576036739628762
seasonal_frequency_2.8,131072,7,dual_tree_hvg,0.7955324680078775
seasonal_frequency_2.8,131072,8,dual_tree_hvg,0.7861064739990979
seasonal_frequency_2.8,131072,9,dual_tree_hvg,0.6344667100347579
seasonal_frequency_3.0,131072,0,dual_tree_hvg,0.7336100960383192
seasonal_frequency_3.0,131072,1,dual_tree_hvg,0.6786011169897392
seasonal_frequency_3.0,131072,2,dual_tree_hvg,0.8069425759604201
seasonal_frequency_3.0,131072,3,dual_tree_hvg,0.7505425669951364
seasonal_frequency_3.0,131072,4,dual_tree_hvg,0.7356312179472297
seasonal_frequency_3.0,131072,5,dual_tree_hvg,0.8877077400684357
seasonal_frequency_3.0,131072,6,dual_tree_hvg,0.7408175929449499
seasonal_frequency_3.0,131072,7,dual_tree_hvg,0.530579527025111
seasonal_frequency_3.0,131072,8,dual_tree_hvg,0.5585332909831777
seasonal_frequency_3.0,131072,9,dual_tree_hvg,0.8797135069034994
seasonal_frequency_3.2,131072,0,dual_tree_hvg,0.7394226570613682
seasonal_frequency_3.2,131072,1,dual_tree_hvg,0.9350043600425124
seasonal_frequency_3.2,131072,2,dual_tree_hvg,0.8629887499846518
seasonal_frequency_3.2,131072,3,dual_tree_hvg,0.8325328169157729
seasonal_frequency_3.2,131072,4,dual_tree_hvg,0.654498043935746
seasonal_frequency_3.2,131072,5,dual_tree_hvg,0.8877295489655808
seasonal_frequency_3.2,131072,6,dual_tree_hvg,0.8419695500051603
